,From,To,Operator,Distance,Departure,Arrival,Has A/C?,Sleeper Category,Is Seater?,Is Multi-Axle?,Has Video?,Pushback Seats,Seat Format,Bus Brand,Duration
79,Hosur,Tirumangalam,Srs Travels (SRS Travels),340,11:00:00 PM,07:30:00 AM,False,Semi-Sleeper,False,False,True,False,2+2,,0 days 08:30:00
80,Hosur,Thakkalai,Kallada Travels,486,09:10:00 PM,09:19:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo,0 days 12:09:00
81,Hosur,Periyakulam,Royal Travels,255,08:45:00 PM,03:08:00 AM,,Semi-Sleeper,False,False,False,False,,,0 days 06:23:00
82,Hosur,Periyakulam,Srs Travels (SRS Travels),330,08:45:00 PM,05:00:00 AM,False,Sleeper,False,False,True,False,2+1,,0 days 08:15:00
83,Hosur,Perumbavoor,Kallada Travels,3009,07:50:00 PM,11:04:00 PM,,Semi-Sleeper,False,False,False,False,,,3 days 03:14:00
84,Hosur,Perumbavoor,Srs Travels (SRS Travels),390,06:45:00 PM,04:30:00 AM,False,Semi-Sleeper,False,False,True,False,2+2,,0 days 09:45:00
85,Hosur,Perumbavoor,Kallada Travels,486,09:15:00 PM,09:24:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo,0 days 12:09:00
86,Hosur,Perumbavoor,Kallada Travels,278,06:55:00 PM,01:52:00 AM,,Semi-Sleeper,False,False,False,False,,,0 days 06:57:00
87,Hosur,Perumbavoor,Kallada Travels,486,07:30:00 PM,07:39:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo,0 days 12:09:00
88,Hosur,Vathalagundu,Srs Travels (SRS Travels),310,08:45:00 PM,04:30:00 AM,False,Sleeper,False,False,True,False,2+1,,0 days 07:45:00
89,Hosur,Moonupeedika,Kallada Travels,301,09:40:00 PM,05:12:00 AM,,Semi-Sleeper,False,False,False,False,,,0 days 07:32:00
90,Hosur,Perundurai,Kallada Travels,185,09:45:00 AM,02:23:00 PM,True,Semi-Sleeper,False,True,False,False,,volvo,0 days 04:38:00
91,Hosur,Perundurai,Kallada Travels,199,02:45:00 PM,07:44:00 PM,True,Semi-Sleeper,False,True,False,False,,volvo,0 days 04:59:00
92,Hosur,Theni,KPN Travels,330,10:45:00 PM,07:00:00 AM,True,Sleeper,False,False,False,False,,,0 days 08:15:00
93,Hosur,Theni,Kallada Travels,294,08:20:00 PM,03:41:00 AM,,Semi-Sleeper,False,False,False,False,,,0 days 07:21:00
94,Hosur,Theni,Royal Travels,255,08:45:00 PM,03:08:00 AM,,Semi-Sleeper,False,False,False,False,,,0 days 06:23:00
95,Hosur,Theni,Srs Travels (SRS Travels),353,08:45:00 PM,05:35:00 AM,False,Sleeper,False,False,True,False,2+1,,0 days 08:50:00
96,Hosur,Theni,Kallada Travels,394,09:45:00 PM,07:36:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo,0 days 09:51:00
97,Hosur,Madathukulam,Srs Travels (SRS Travels),260,10:30:00 PM,05:00:00 AM,False,Sleeper,False,False,True,False,2+1,,0 days 06:30:00
98,Hosur,Mettupalayam,KPN Travels,240,11:00:00 PM,05:00:00 AM,False,Other,False,False,False,False,2+2,,0 days 06:00:00
